"class","class_full","comment","added_attributes","added_attributes_full","commentaddatt","deleted_attributes","deleted_attributes_full","commentdelatt","reference_version","target_version"
"epo:ProcurementElement","http://data.europa.eu/a4g/ontology#ProcurementElement","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","moved from epo:ProcurementObject","","","","3.0.1","3.1.0"
"epo:ProcurementElement","http://data.europa.eu/a4g/ontology#ProcurementElement","","epo:hasTitle","http://data.europa.eu/a4g/ontology#hasTitle","moved from epo:ProcurementObject","","","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:hasAdditionalInformation","http://data.europa.eu/a4g/ontology#hasAdditionalInformation","moved from epo:Lot","","","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:hasRecurrenceDescription","http://data.europa.eu/a4g/ontology#hasRecurrenceDescription","moved from epo:Lot","","","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:isCoveredByGPA","http://data.europa.eu/a4g/ontology#isCoveredByGPA","moved from epo:Lot","","","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:isRecurrent","http://data.europa.eu/a4g/ontology#isRecurrent","moved from epo:Lot","","","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:isSMESuitable","http://data.europa.eu/a4g/ontology#isSMESuitable","moved from epo:PlannedProcurementPart","","","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:isUsingEUFunds","http://data.europa.eu/a4g/ontology#isUsingEUFunds","moved from epo:PlannedProcurementPart","","","","3.0.1","3.1.0"
"cpv:Person","http://data.europa.eu/m8g/Person","","person:placeOfBirth","http://www.w3.org/ns/person#placeOfBirth","","cpv:placeOfBirth","http://data.europa.eu/m8g/placeOfBirth","","3.0.1","3.1.0"
"cpv:Person","http://data.europa.eu/m8g/Person","","person:placeOfDeath","http://www.w3.org/ns/person#placeOfDeath","","cpv:placeOfDeath","http://data.europa.eu/m8g/placeOfDeath","","3.0.1","3.1.0"
"epo:ElementConfidentialityDescription","http://data.europa.eu/a4g/ontology#ElementConfidentialityDescription","","epo:hasInstanceReference","http://data.europa.eu/a4g/ontology#hasInstanceReference","","epo:hasClassReference","http://data.europa.eu/a4g/ontology#hasClassReference","","3.0.1","3.1.0"
