"subject","subject_full","comment","predicate","predicate_full","commentpred","object","object_full","commentobj","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#Certifier","epo:Certifier","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:AuxiliaryParty","http://data.europa.eu/a4g/ontology#AuxiliaryParty","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#OpeningTerm","epo:OpeningTerm","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcedureSpecificTerm","http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#DesignContestRegimeTerm","epo:DesignContestRegimeTerm","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcedureSpecificTerm","http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ReviewTerm","epo:ReviewTerm","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcedureSpecificTerm","http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AdHocChannel","epo:AdHocChannel","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","cv:Channel","http://data.europa.eu/m8g/Channel","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AwardCriteriaSummary","epo:AwardCriteriaSummary","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementCriteriaSummary","http://data.europa.eu/a4g/ontology#ProcurementCriteriaSummary","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AwardDecision","epo:AwardDecision","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:Document","http://data.europa.eu/a4g/ontology#Document","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AwardOutcome","epo:AwardOutcome","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ContextualProjection","http://data.europa.eu/a4g/ontology#ContextualProjection","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Candidate","epo:Candidate","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:OfferingParty","http://data.europa.eu/a4g/ontology#OfferingParty","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Contract","epo:Contract","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:Document","http://data.europa.eu/a4g/ontology#Document","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#DirectContract","epo:DirectContract","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:Document","http://data.europa.eu/a4g/ontology#Document","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#EconomicStandingSummary","epo:EconomicStandingSummary","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:SelectionCriteriaSummary","http://data.europa.eu/a4g/ontology#SelectionCriteriaSummary","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Estimate","epo:Estimate","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ContextSpecificDescription","http://data.europa.eu/a4g/ontology#ContextSpecificDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ExclusionGroundsSummary","epo:ExclusionGroundsSummary","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:QualificationCriteriaSummary","http://data.europa.eu/a4g/ontology#QualificationCriteriaSummary","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ExclusionGround","epo:ExclusionGround","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:QualificationCriterion","http://data.europa.eu/a4g/ontology#QualificationCriterion","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","epo:FrameworkAgreementTerm","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ContractSpecificTerm","http://data.europa.eu/a4g/ontology#ContractSpecificTerm","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#JuryMember","epo:JuryMember","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:AcquiringParty","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotAwardOutcome","epo:LotAwardOutcome","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:AwardOutcome","http://data.europa.eu/a4g/ontology#AwardOutcome","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroupAwardInformation","epo:LotGroupAwardInformation","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ContextSpecificDescription","http://data.europa.eu/a4g/ontology#ContextSpecificDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#MiniCompetitionAwardOutcome","epo:MiniCompetitionAwardOutcome","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:AwardOutcome","http://data.europa.eu/a4g/ontology#AwardOutcome","","3.1.0","4.0.0-rc.1"
