"subject","subject_full","comment","predicate","predicate_full","commentpred","object","object_full","commentobj","reference_version","target_version"
"epo:Lot","http://data.europa.eu/a4g/ontology#Lot","","time:unitType","http://www.w3.org/2006/time#unitType","","time:TemporalUnit","http://www.w3.org/2006/time#TemporalUnit","","3.0.0","3.0.1"
"epo:Lot","http://data.europa.eu/a4g/ontology#Lot","","epo:hasRestatedEstimatedValue","http://data.europa.eu/a4g/ontology#hasRestatedEstimatedValue","","epo:MonetaryValue","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.0","3.0.1"
"epo:Tender","http://data.europa.eu/a4g/ontology#Tender","","epo:foreseesContractSpecificTerm","http://data.europa.eu/a4g/ontology#foreseesContractSpecificTerm","","epo:ContractSpecificTerm","http://data.europa.eu/a4g/ontology#ContractSpecificTerm","","3.0.0","3.0.1"
"epo:Tender","http://data.europa.eu/a4g/ontology#Tender","","epo:foreseesConcession","http://data.europa.eu/a4g/ontology#foreseesConcession","","epo:ConcessionEstimate","http://data.europa.eu/a4g/ontology#ConcessionEstimate","","3.0.0","3.0.1"
"org:Organization","http://www.w3.org/ns/org#Organization","","epo:hasMainActivity","http://data.europa.eu/a4g/ontology#hasMainActivity","","at-voc:main-activity","http://publications.europa.eu/resource/authority/main-activity","","3.0.0","3.0.1"
"epo:Buyer","http://data.europa.eu/a4g/ontology#Buyer","","epo:dependsOnBuyer","http://data.europa.eu/a4g/ontology#dependsOnBuyer","","epo:Awarder","http://data.europa.eu/a4g/ontology#Awarder","","3.0.0","3.0.1"
"epo:ContractTerm","http://data.europa.eu/a4g/ontology#ContractTerm","","epo:definesContractDuration","http://data.europa.eu/a4g/ontology#definesContractDuration","","epo:Duration","http://data.europa.eu/a4g/ontology#Duration","","3.0.0","3.0.1"
"epo:MultipleStageProcedureTerm","http://data.europa.eu/a4g/ontology#MultipleStageProcedureTerm","","epo:definesContractPeriod","http://data.europa.eu/a4g/ontology#definesContractPeriod","","epo:Period","http://data.europa.eu/a4g/ontology#Period","","3.0.0","3.0.1"
"epo:MultipleStageProcedureTerm","http://data.europa.eu/a4g/ontology#MultipleStageProcedureTerm","","epo:hasQualificationSystemPeriod","http://data.europa.eu/a4g/ontology#hasQualificationSystemPeriod","","epo:Period","http://data.europa.eu/a4g/ontology#Period","","3.0.0","3.0.1"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:hasQualificationSystemDuration","http://data.europa.eu/a4g/ontology#hasQualificationSystemDuration","","epo:Duration","http://data.europa.eu/a4g/ontology#Duration","","3.0.0","3.0.1"
"epo:LotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","","epo:hasBuyerLegalType","http://data.europa.eu/a4g/ontology#hasBuyerLegalType","","at-voc:buyer-legal-type","http://publications.europa.eu/resource/authority/buyer-legal-type","","3.0.0","3.0.1"
"epo:ConcessionEstimate","http://data.europa.eu/a4g/ontology#ConcessionEstimate","","epo:hasEstimatedUserConcessionRevenue","http://data.europa.eu/a4g/ontology#hasEstimatedUserConcessionRevenue","","epo:MonetaryValue
","http://data.europa.eu/a4g/ontology#MonetaryValue
","","3.0.0","3.0.1"
"epo:ConcessionEstimate","http://data.europa.eu/a4g/ontology#ConcessionEstimate","","epo:hasEstimatedBuyerConcessionRevenue","http://data.europa.eu/a4g/ontology#hasEstimatedBuyerConcessionRevenue","","epo:MonetaryValue
","http://data.europa.eu/a4g/ontology#MonetaryValue
","","3.0.0","3.0.1"
"epo:Document","http://data.europa.eu/a4g/ontology#Document","","epo:isBasedOnImplementingRegulation","http://data.europa.eu/a4g/ontology#isBasedOnImplementingRegulation","","at-voc:legal-basis","http://publications.europa.eu/resource/authority/legal-basis","","3.0.0","3.0.1"
"epo:Duration","http://data.europa.eu/a4g/ontology#Duration","","epo:refersToProcedure","http://data.europa.eu/a4g/ontology#refersToProcedure","","epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","3.0.0","3.0.1"
"epo-cat:Catalogue","http://data.europa.eu/a4g/ontology#Catalogue","","comprisesCatalogueLine","","","epo-cat:CatalogueLine","http://data.europa.eu/a4g/ontology#CatalogueLine","","3.0.0","3.0.1"
"epo-cat:ChargeInformation","http://data.europa.eu/a4g/ontology#ChargeInformation","","epo-cat:isSubordinatedToContract","http://data.europa.eu/a4g/ontology#isSubordinatedToContract","","epo:Contract","http://data.europa.eu/a4g/ontology#Contract","","3.0.0","3.0.1"
"epo-not:CompetitionNotice","http://data.europa.eu/a4g/ontology#CompetitionNotice","from epo:CompetitionNotice","epo-not:announcesLot","http://data.europa.eu/a4g/ontology#announcesLot","","epo:Lot","http://data.europa.eu/a4g/ontology#Lot","","3.0.0","3.0.1"
"epo-not:CompetitionNotice","http://data.europa.eu/a4g/ontology#CompetitionNotice","from epo:CompetitionNotice","epo-not:announcesLotGroup","http://data.europa.eu/a4g/ontology#announcesLotGroup","","epo:LotGroup","http://data.europa.eu/a4g/ontology#LotGroup","","3.0.0","3.0.1"
"epo-not:CompetitionNotice","http://data.europa.eu/a4g/ontology#CompetitionNotice","from epo:CompetitionNotice","epo-not:announcesRole","http://data.europa.eu/a4g/ontology#announcesRole","","epo:AgentInRole","http://data.europa.eu/a4g/ontology#AgentInRole","","3.0.0","3.0.1"
"epo-not:CompetitionNotice","http://data.europa.eu/a4g/ontology#CompetitionNotice","from epo:CompetitionNotice","epo-not:announcesProcedure","http://data.europa.eu/a4g/ontology#announcesProcedure","","epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","3.0.0","3.0.1"
"epo-not:ContractModificationNotice","http://data.europa.eu/a4g/ontology#ContractModificationNotice","from epo:ContractModificationNotice","epo-not:refersToContractToBeModified","http://data.europa.eu/a4g/ontology#refersToContractToBeModified","","epo:Contract","http://data.europa.eu/a4g/ontology#Contract","","3.0.0","3.0.1"
"epo-not:DirectAwardPrenotificationNotice","http://data.europa.eu/a4g/ontology#DirectAwardPrenotificationNotice","from epo:DirectAwardPrenotificationNotice","epo-not:announcesProcedure","http://data.europa.eu/a4g/ontology#announcesProcedure","","epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","3.0.0","3.0.1"
"epo-not:PlanningNotice","http://data.europa.eu/a4g/ontology#PlanningNotice","from epo:PlanningNotice","epo-not:announcesPlannedProcurementPart","http://data.europa.eu/a4g/ontology#announcesPlannedProcurementPart","","epo:PlannedProcurementPart","http://data.europa.eu/a4g/ontology#PlannedProcurementPart","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:announcesNonPublishedElement","http://data.europa.eu/a4g/ontology#announcesNonPublishedElement","","epo:PublicationProvision","http://data.europa.eu/a4g/ontology#PublicationProvision","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:refersToRole","http://data.europa.eu/a4g/ontology#refersToRole","","epo:AgentInRole","http://data.europa.eu/a4g/ontology#AgentInRole","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:announcesLotAwardOutcome","http://data.europa.eu/a4g/ontology#announcesLotAwardOutcome","","epo:LotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:refersToProcedureTerm","http://data.europa.eu/a4g/ontology#refersToProcedureTerm","","epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:refersToLot","http://data.europa.eu/a4g/ontology#refersToLot","","epo:Lot","http://data.europa.eu/a4g/ontology#Lot","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:announcesRole","http://data.europa.eu/a4g/ontology#announcesRole","","epo:AgentInRole","http://data.europa.eu/a4g/ontology#AgentInRole","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:refersToReviewTerm","http://data.europa.eu/a4g/ontology#refersToReviewTerm","","epo:ReviewTerm","http://data.europa.eu/a4g/ontology#ReviewTerm","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:announcesTender","http://data.europa.eu/a4g/ontology#announcesTender","","epo:Tender","http://data.europa.eu/a4g/ontology#Tender","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:refersToLotGroup","http://data.europa.eu/a4g/ontology#refersToLotGroup","","epo:LotGroup","http://data.europa.eu/a4g/ontology#LotGroup","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:announcesContract","http://data.europa.eu/a4g/ontology#announcesContract","","epo:Contract","http://data.europa.eu/a4g/ontology#Contract","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:announcesNoticeAwardInformation","http://data.europa.eu/a4g/ontology#announcesNoticeAwardInformation","","epo:NoticeAwardInformation","http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","3.0.0","3.0.1"
"epo-not:ResultNotice","http://data.europa.eu/a4g/ontology#ResultNotice","","epo-not:announcesLotGroupAwardInformation","http://data.europa.eu/a4g/ontology#announcesLotGroupAwardInformation","","epo:LotGroupAwardInformation","http://data.europa.eu/a4g/ontology#LotGroupAwardInformation","","3.0.0","3.0.1"
