"subject","subject_full","comment","predicate","predicate_full","commentpred","object","object_full","commentobj","reference_version","target_version"
"epo:Lot","http://data.europa.eu/a4g/ontology#Lot","","epo:foreseesContractTerm","http://data.europa.eu/a4g/ontology#foreseesContractTerm","","epo:ContractSpecificTerm","http://data.europa.eu/a4g/ontology#ContractSpecificTerm","","3.0.0 beta","3.0.0"
"cpv:Person","http://data.europa.eu/m8g/Person","","epo:hasRegisteredAddress","http://data.europa.eu/a4g/ontology#hasRegisteredAddress","","locn:Address","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"org:Organization","http://www.w3.org/ns/org#Organization","","epo:hasRegisteredAddress","http://data.europa.eu/a4g/ontology#hasRegisteredAddress","","locn:Address","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"org:Organization","http://www.w3.org/ns/org#Organization","","epo:hasAddress","http://data.europa.eu/a4g/ontology#hasAddress","","locn:Address","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"org:Organization","http://www.w3.org/ns/org#Organization","","epo:hasBuyerType","http://data.europa.eu/a4g/ontology#hasBuyerType","","at-voc:buyer-legal-type","http://publications.europa.eu/resource/authority/buyer-legal-type","","3.0.0 beta","3.0.0"
"epo:Buyer","http://data.europa.eu/a4g/ontology#Buyer","","epo:hasMainActivityType","http://data.europa.eu/a4g/ontology#hasMainActivityType","","at-voc:main-activity","http://publications.europa.eu/resource/authority/main-activity","","3.0.0 beta","3.0.0"
"epo:Buyer","http://data.europa.eu/a4g/ontology#Buyer","","epo:hasBuyerType","http://data.europa.eu/a4g/ontology#hasBuyerType","","at-voc:buyer-legal-type","http://publications.europa.eu/resource/authority/buyer-legal-type","","3.0.0 beta","3.0.0"
"cpov:ContactPoint","","","epo:hasAddress","http://data.europa.eu/a4g/ontology#hasAddress","","locn:Address","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"locn:Address","http://www.w3.org/ns/locn#Address","","locn:adminUnitL2","http://www.w3.org/ns/locn#adminUnitL2","","at-voc:nuts","http://publications.europa.eu/resource/authority/nuts","","3.0.0 beta","3.0.0"
"locn:Address","http://www.w3.org/ns/locn#Address","","locn:adminUnitL1","http://www.w3.org/ns/locn#adminUnitL1","","at-voc:country","http://publications.europa.eu/resource/authority/country","","3.0.0 beta","3.0.0"
"epo:EAuctionTechniqueUsage","http://data.europa.eu/a4g/ontology#EAuctionTechniqueUsage","renamed from epo:EAuctionTechnique","epo:hasEAuctionUsage","http://data.europa.eu/a4g/ontology#hasEAuctionUsage","","at-voc:usage","http://publications.europa.eu/resource/authority/usage","","3.0.0 beta","3.0.0"
"epo:TechniqueUsage","http://data.europa.eu/a4g/ontology#TechniqueUsage","renamed from epo:Technique","renamed","","","epo:hasEAuctionUsage","http://data.europa.eu/a4g/ontology#hasEAuctionUsage","","3.0.0 beta","3.0.0"
"epo:NoticeAwardInformation","http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","epo:hasTotalFrameworkAgreementAwardedValue","http://data.europa.eu/a4g/ontology#hasTotalFrameworkAgreementAwardedValue","","epo:MonetaryValue","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.0 beta","3.0.0"
"epo:NoticeAwardInformation","http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","epo:hasTotalContractAwardedValue","http://data.europa.eu/a4g/ontology#hasTotalContractAwardedValue","","epo:MonetaryValue","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.0 beta","3.0.0"
"epo:ProcurementProcessInformation","http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","epo:concernsLotRelaunch","http://data.europa.eu/a4g/ontology#concernsLotRelaunch","","epo:Lot","http://data.europa.eu/a4g/ontology#Lot","","3.0.0 beta","3.0.0"
"epo:ProcurementProcessInformation","http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","epo:concernsProcedureRelaunch","http://data.europa.eu/a4g/ontology#concernsProcedureRelaunch","","epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","3.0.0 beta","3.0.0"
