"class","class_full","comment","added_attributes","added_attributes_full","commentaddatt","deleted_attributes","deleted_attributes_full","commentdelatt","reference_version","target_version"
"epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","","","","epo:hasLotMinimumSubmission","http://data.europa.eu/a4g/ontology#hasLotMinimumSubmission","","3.0.0","3.0.1"
"epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","","","","epo:hasLotSubmissionLimit","http://data.europa.eu/a4g/ontology#hasLotSubmissionLimit","","3.0.0","3.0.1"
"epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","","","","epo:hasMaximumNumberOfLotsToBeAwarded","http://data.europa.eu/a4g/ontology#hasMaximumNumberOfLotsToBeAwarded","","3.0.0","3.0.1"
"epo:Tender","http://data.europa.eu/a4g/ontology#Tender","","","","","epo:hasCalculationMethod","http://data.europa.eu/a4g/ontology#hasCalculationMethod","","3.0.0","3.0.1"
"org:Organization","http://www.w3.org/ns/org#Organization","","epo:hasBuyerLegalTypeDescription","http://data.europa.eu/a4g/ontology#hasBuyerLegalTypeDescription","","epo:hasBuyerTypeDescription","http://data.europa.eu/a4g/ontology#hasBuyerTypeDescription","","3.0.0","3.0.1"
"org:Organization","http://www.w3.org/ns/org#Organization","","epo:hasMainActivityDescription","http://data.europa.eu/a4g/ontology#hasMainActivityDescription","","","","","3.0.0","3.0.1"
"org:Organization","http://www.w3.org/ns/org#Organization","","added","","roperty (outgoing connector","deleted","","roperty (outgoing connector","3.0.0","3.0.1"
"epo:Buyer","http://data.europa.eu/a4g/ontology#Buyer","","","","","epo:hasBuyerTypeDescription","http://data.europa.eu/a4g/ontology#hasBuyerTypeDescription","","3.0.0","3.0.1"
"epo:MultipleStageProcedureTerm","http://data.europa.eu/a4g/ontology#MultipleStageProcedureTerm","","epo:hasQualificationSystemRenewalDescription","http://data.europa.eu/a4g/ontology#hasQualificationSystemRenewalDescription","","","","","3.0.0","3.0.1"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:hasLotAwardCombination","http://data.europa.eu/a4g/ontology#hasLotAwardCombination","","","","","3.0.0","3.0.1"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:hasMaximumLotSubmissionAllowed","http://data.europa.eu/a4g/ontology#hasMaximumLotSubmissionAllowed","","epo:hasLotSubmissionLimit","http://data.europa.eu/a4g/ontology#hasLotSubmissionLimit","","3.0.0","3.0.1"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:hasMaximumNumberOfLotsToBeAwarded","http://data.europa.eu/a4g/ontology#hasMaximumNumberOfLotsToBeAwarded","","","","","3.0.0","3.0.1"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:hasNationalProcedureRules","http://data.europa.eu/a4g/ontology#hasNationalProcedureRules","","","","","3.0.0","3.0.1"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:isOneLotOnlyAllowed","http://data.europa.eu/a4g/ontology#isOneLotOnlyAllowed","","","","","3.0.0","3.0.1"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:isSubmissionForAllLotsAllowed","http://data.europa.eu/a4g/ontology#isSubmissionForAllLotsAllowed","","","","","3.0.0","3.0.1"
"epo:SubmissionTerm","http://data.europa.eu/a4g/ontology#SubmissionTerm","","epo:hasReceiptExpressionDeadline","http://data.europa.eu/a4g/ontology#hasReceiptExpressionDeadline","from epo:ProcedureTerm","","","","3.0.0","3.0.1"
"epo:LotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","","epo:hasNonAwardedContractNumber","http://data.europa.eu/a4g/ontology#hasNonAwardedContractNumber","","","","","3.0.0","3.0.1"
"epo:LotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","","epo:hasNonAwardedContractTitle","http://data.europa.eu/a4g/ontology#hasNonAwardedContractTitle","","","","","3.0.0","3.0.1"
"epo:ConcessionEstimate","http://data.europa.eu/a4g/ontology#ConcessionEstimate","","epo:hasCalculationMethod","http://data.europa.eu/a4g/ontology#hasCalculationMethod","from epo:Tender","","","","3.0.0","3.0.1"
"epo:Duration","http://data.europa.eu/a4g/ontology#Duration","","","","","time:numericDuration","http://www.w3.org/2006/time#numericDuration","","3.0.0","3.0.1"
"epo:SpecificDuration","http://data.europa.eu/a4g/ontology#SpecificDuration","","time:numericDuration","http://www.w3.org/2006/time#numericDuration","","","","","3.0.0","3.0.1"
"epo-cat:ChargeInformation","http://data.europa.eu/a4g/ontology#ChargeInformation","","","","","epo-cat:hasPricePercentage","http://data.europa.eu/a4g/ontology#hasPricePercentage","","3.0.0","3.0.1"
