"name","name_full","comment","reference_version","target_version"
"epo:ContextDescription","http://data.europa.eu/a4g/ontology#ContextDescription","renamed from epo:ContextSpecificDescription","3.1.0","4.0.0-rc.1"
"epo:Certificate","http://data.europa.eu/a4g/ontology#Certificate","moved from ePO Catalogue module","3.1.0","4.0.0-rc.1"
"epo:CertificationLabel","http://data.europa.eu/a4g/ontology#CertificationLabel","moved from ePO Catalogue module","3.1.0","4.0.0-rc.1"
"epo:ChangeInformation","http://data.europa.eu/a4g/ontology#ChangeInformation","renamed from epo:NoticeChangeInformation","3.1.0","4.0.0-rc.1"
"epo:Certifier","http://data.europa.eu/a4g/ontology#Certifier","moved form ePO Catalogue module","3.1.0","4.0.0-rc.1"
"epo:AdHocChannel","http://data.europa.eu/a4g/ontology#AdHocChannel","","3.1.0","4.0.0-rc.1"
"epo:AwardCriteriaSummary","http://data.europa.eu/a4g/ontology#AwardCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","http://data.europa.eu/a4g/ontology#AwardOutcome","","3.1.0","4.0.0-rc.1"
"epo:Candidate","http://data.europa.eu/a4g/ontology#Candidate","","3.1.0","4.0.0-rc.1"
"epo:DirectContract","http://data.europa.eu/a4g/ontology#DirectContract","","3.1.0","4.0.0-rc.1"
"epo:DynamicPurchaseSystemTechnique","http://data.europa.eu/a4g/ontology#DynamicPurchaseSystemTechnique","renamed from epo:DynamicPurchaseSystemTechniqueUsage","3.1.0","4.0.0-rc.1"
"epo:EAuctionTechnique","http://data.europa.eu/a4g/ontology#EAuctionTechnique","renamed from epo:EAuctionTechniqueUsage","3.1.0","4.0.0-rc.1"
"epo:EconomicStandingSummary","http://data.europa.eu/a4g/ontology#EconomicStandingSummary","","3.1.0","4.0.0-rc.1"
"epo:ElectronicSignature","http://data.europa.eu/a4g/ontology#ElectronicSignature","","3.1.0","4.0.0-rc.1"
"epo:ExclusionGroundsSummary","http://data.europa.eu/a4g/ontology#ExclusionGroundsSummary","","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreementTechnique","http://data.europa.eu/a4g/ontology#FrameworkAgreementTechnique","renamed from epo:FrameworkAgreementTechniqueUsage","3.1.0","4.0.0-rc.1"
"epo:JuryMember","http://data.europa.eu/a4g/ontology#JuryMember","","3.1.0","4.0.0-rc.1"
"epo:MiniCompetitionAwardOutcome","http://data.europa.eu/a4g/ontology#MiniCompetitionAwardOutcome","","3.1.0","4.0.0-rc.1"
"epo:NonDisclosureAgreementTerm","http://data.europa.eu/a4g/ontology#NonDisclosureAgreementTerm","","3.1.0","4.0.0-rc.1"
"epo:NonPublishedInformation","http://data.europa.eu/a4g/ontology#NonPublishedInformation","","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed from epo:NoticeChange","3.1.0","4.0.0-rc.1"
"epo:OfferIssuer","http://data.europa.eu/a4g/ontology#OfferIssuer","","3.1.0","4.0.0-rc.1"
"epo:Offer","http://data.europa.eu/a4g/ontology#Offer","","3.1.0","4.0.0-rc.1"
"epo:OriginatorRequest","http://data.europa.eu/a4g/ontology#OriginatorRequest","","3.1.0","4.0.0-rc.1"
"epo:ParticipationConditionsSummary","http://data.europa.eu/a4g/ontology#ParticipationConditionsSummary","","3.1.0","4.0.0-rc.1"
"epo:ParticipationCondition","http://data.europa.eu/a4g/ontology#ParticipationCondition","","3.1.0","4.0.0-rc.1"
"epo:ProcurementCriteriaSummary","http://data.europa.eu/a4g/ontology#ProcurementCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:ProfessionalSuitabilitySummary","http://data.europa.eu/a4g/ontology#ProfessionalSuitabilitySummary","","3.1.0","4.0.0-rc.1"
"epo:QualificationCriteriaSummary","http://data.europa.eu/a4g/ontology#QualificationCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:QualificationCriterion","http://data.europa.eu/a4g/ontology#QualificationCriterion","","3.1.0","4.0.0-rc.1"
"epo:SelectedCandidateList","http://data.europa.eu/a4g/ontology#SelectedCandidateList","","3.1.0","4.0.0-rc.1"
"epo:SelectionCriteriaSummary","http://data.europa.eu/a4g/ontology#SelectionCriteriaSummary","","3.1.0","4.0.0-rc.1"
