"name","name_full","comment","reference_version","target_version"
"epo:ContextSpecificDescription","http://data.europa.eu/a4g/ontology#ContextSpecificDescription","renamed to epo:ContextDescription","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed to epo:ChangeInformation","3.1.0","4.0.0-rc.1"
"epo:Certificate","http://data.europa.eu/a4g/ontology#Certificate","moved to ePO Core module","3.1.0","4.0.0-rc.1"
"epo:CertificationLabel","http://data.europa.eu/a4g/ontology#CertificationLabel","moved to ePO Core module","3.1.0","4.0.0-rc.1"
"epo:Certifier","http://data.europa.eu/a4g/ontology#Certifier","moved to ePO Core module","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueFragment","http://data.europa.eu/a4g/ontology#CatalogueFragment","","3.1.0","4.0.0-rc.1"
"epo:ContractModification","http://data.europa.eu/a4g/ontology#ContractModification","","3.1.0","4.0.0-rc.1"
"epo:ElementDescription","http://data.europa.eu/a4g/ontology#ElementDescription","","3.1.0","4.0.0-rc.1"
"epo:ElementModificationDescription","http://data.europa.eu/a4g/ontology#ElementModificationDescription","","3.1.0","4.0.0-rc.1"
"epo:ElementChangeDescription","http://data.europa.eu/a4g/ontology#ElementChangeDescription","","3.1.0","4.0.0-rc.1"
"epo:ElementConfidentialityDescription","http://data.europa.eu/a4g/ontology#ElementConfidentialityDescription","","3.1.0","4.0.0-rc.1"
"epo:NoticeDescription","http://data.europa.eu/a4g/ontology#NoticeDescription","","3.1.0","4.0.0-rc.1"
"epo:PublicationProvision","http://data.europa.eu/a4g/ontology#PublicationProvision","","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueDocument","http://data.europa.eu/a4g/ontology#CatalogueDocument","","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueUpdateDocument","http://data.europa.eu/a4g/ontology#CatalogueUpdateDocument","== eOrderin","3.1.0","4.0.0-rc.1"
"epo-ful:Carrier","http://data.europa.eu/a4g/ontology#Carrier","","3.1.0","4.0.0-rc.1"
"epo-ful:Invoicer","http://data.europa.eu/a4g/ontology#Invoicer","","3.1.0","4.0.0-rc.1"
"epo-ord:Beneficiary","http://data.europa.eu/a4g/ontology#Beneficiary","","3.1.0","4.0.0-rc.1"
"epo-ord:Invoicee","http://data.europa.eu/a4g/ontology#Invoicee","","3.1.0","4.0.0-rc.1"
"epo-ord:Ordering","http://data.europa.eu/a4g/ontology#Ordering","","3.1.0","4.0.0-rc.1"
"epo-not:PMCNotice","http://data.europa.eu/a4g/ontology#PMCNotice","","3.1.0","4.0.0-rc.1"
