"subject","subject_full","comment","predicate","predicate_full","commentpred","object","object_full","commentobj","reference_version","target_version"
"epo:AwardDecision","http://data.europa.eu/a4g/ontology#AwardDecision","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","3.0.1","3.1.0"
"epo:Contract","http://data.europa.eu/a4g/ontology#Contract","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","3.0.1","3.1.0"
"epo:ReviewObject","http://data.europa.eu/a4g/ontology#ReviewObject","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","3.0.1","3.1.0"
"epo:Tender","http://data.europa.eu/a4g/ontology#Tender","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","3.0.1","3.1.0"
"epo:Awarder","http://data.europa.eu/a4g/ontology#Awarder","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:PrimaryRole","http://data.europa.eu/a4g/ontology#PrimaryRole","","3.0.1","3.1.0"
"epo:BudgetProvider","http://data.europa.eu/a4g/ontology#BudgetProvider","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:SecondaryRole","http://data.europa.eu/a4g/ontology#SecondaryRole","","3.0.1","3.1.0"
"epo:Buyer","http://data.europa.eu/a4g/ontology#Buyer","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:PrimaryRole","http://data.europa.eu/a4g/ontology#PrimaryRole","","3.0.1","3.1.0"
"epo:CatalogueReceiver","http://data.europa.eu/a4g/ontology#CatalogueReceiver","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:PrimaryRole","http://data.europa.eu/a4g/ontology#PrimaryRole","","3.0.1","3.1.0"
"epo:EmploymentInformationProvider","http://data.europa.eu/a4g/ontology#EmploymentInformationProvider","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:TertiaryRole","http://data.europa.eu/a4g/ontology#TertiaryRole","","3.0.1","3.1.0"
"epo:EnvironmentalProtectionInformationProvider","http://data.europa.eu/a4g/ontology#EnvironmentalProtectionInformationProvider","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:TertiaryRole","http://data.europa.eu/a4g/ontology#TertiaryRole","","3.0.1","3.1.0"
"epo:Mediator","http://data.europa.eu/a4g/ontology#Mediator","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:PrimaryRole","http://data.europa.eu/a4g/ontology#PrimaryRole","","3.0.1","3.1.0"
"epo:OfflineAccessProvider","http://data.europa.eu/a4g/ontology#OfflineAccessProvider","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:InformationProvider","http://data.europa.eu/a4g/ontology#InformationProvider","","3.0.1","3.1.0"
"epo:ParticipationRequestProcessor","http://data.europa.eu/a4g/ontology#ParticipationRequestProcessor","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:SecondaryRole","http://data.europa.eu/a4g/ontology#SecondaryRole","","3.0.1","3.1.0"
"epo:ParticipationRequestReceiver","http://data.europa.eu/a4g/ontology#ParticipationRequestReceiver","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:SecondaryRole","http://data.europa.eu/a4g/ontology#SecondaryRole","","3.0.1","3.1.0"
"epo:PaymentExecutor","http://data.europa.eu/a4g/ontology#PaymentExecutor","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:SecondaryRole","http://data.europa.eu/a4g/ontology#SecondaryRole","","3.0.1","3.1.0"
"epo:ProcurementProcedureInformationProvider","http://data.europa.eu/a4g/ontology#ProcurementProcedureInformationProvider","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:InformationProvider","http://data.europa.eu/a4g/ontology#InformationProvider","","3.0.1","3.1.0"
"epo:ProcurementServiceProvider","http://data.europa.eu/a4g/ontology#ProcurementServiceProvider","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:PrimaryRole","http://data.europa.eu/a4g/ontology#PrimaryRole","","3.0.1","3.1.0"
"epo:ReviewProcedureInformationProvider","http://data.europa.eu/a4g/ontology#ReviewProcedureInformationProvider","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:InformationProvider","http://data.europa.eu/a4g/ontology#InformationProvider","","3.0.1","3.1.0"
"epo:ReviewRequester","http://data.europa.eu/a4g/ontology#ReviewRequester","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:PrimaryRole","http://data.europa.eu/a4g/ontology#PrimaryRole","","3.0.1","3.1.0"
"epo:Reviewer","http://data.europa.eu/a4g/ontology#Reviewer","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:PrimaryRole","http://data.europa.eu/a4g/ontology#PrimaryRole","","3.0.1","3.1.0"
"epo:TaxInformationProvider","http://data.europa.eu/a4g/ontology#TaxInformationProvider","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:TertiaryRole","http://data.europa.eu/a4g/ontology#TertiaryRole","","3.0.1","3.1.0"
"epo:TenderProcessor","http://data.europa.eu/a4g/ontology#TenderProcessor","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:SecondaryRole","http://data.europa.eu/a4g/ontology#SecondaryRole","","3.0.1","3.1.0"
"epo:TenderReceiver","http://data.europa.eu/a4g/ontology#TenderReceiver","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:SecondaryRole","http://data.europa.eu/a4g/ontology#SecondaryRole","","3.0.1","3.1.0"
"epo:ProcessPlanningTerm","http://data.europa.eu/a4g/ontology#ProcessPlanningTerm","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:LotSpecificTerm","http://data.europa.eu/a4g/ontology#LotSpecificTerm","","3.0.1","3.1.0"
"epo-cat:Manufacturer","http://data.europa.eu/a4g/ontology#Manufacturer","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:SecondaryRole","http://data.europa.eu/a4g/ontology#SecondaryRole","","3.0.1","3.1.0"
