"subject","subject_full","comment","predicate","predicate_full","commentpred","object","object_full","commentobj","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#AwardDecision","epo:AwardDecision","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementElement","http://data.europa.eu/a4g/ontology#ProcurementElement","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Contract","epo:Contract","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementElement","http://data.europa.eu/a4g/ontology#ProcurementElement","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ExclusionGround","epo:ExclusionGround","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementCriterion","http://data.europa.eu/a4g/ontology#ProcurementCriterion","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroupAwardInformation","epo:LotGroupAwardInformation","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ContextualProjection","http://data.europa.eu/a4g/ontology#ContextualProjection","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#NoticeChangeInformation","epo:NoticeChangeInformation","renamed from epo:NoticeChange","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:NoticeDescription","http://data.europa.eu/a4g/ontology#NoticeDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#PlannedProcurementPart","epo:PlannedProcurementPart","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ReviewObject","epo:ReviewObject","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementElement","http://data.europa.eu/a4g/ontology#ProcurementElement","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ReviewTerm","epo:ReviewTerm","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcedureSpecificTerm","http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#SelectionCriterion","epo:SelectionCriterion","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementCriterion","http://data.europa.eu/a4g/ontology#ProcurementCriterion","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Tender","epo:Tender","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ProcurementElement","http://data.europa.eu/a4g/ontology#ProcurementElement","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ChargeInformation","epo-cat:ChargeInformation","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo-ord:PriceModifierInformation","http://data.europa.eu/a4g/ontology#PriceModifierInformation","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ItemProperty","epo-cat:ItemProperty","renamed from epo-cat:ItemDescription","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ElementDescription","http://data.europa.eu/a4g/ontology#ElementDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ProductSpecification","epo-cat:ProductSpecification","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:Document","http://data.europa.eu/a4g/ontology#Document","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ContractInformation","epo-ord:ContractInformation","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ContextSpecificDescription","http://data.europa.eu/a4g/ontology#ContextSpecificDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#OriginatorInformation","epo-ord:OriginatorInformation","","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ContextSpecificDescription","http://data.europa.eu/a4g/ontology#ContextSpecificDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AllowanceChargeInformation","epo-ord:AllowanceChargeInformation","renamed from epo-ord:PriceModifierInformation","rdfs:subClassOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","epo:ContextSpecificDescription","http://data.europa.eu/a4g/ontology#ContextSpecificDescription","","3.1.0","4.0.0-rc.1"
