"class","class_full","comment","added_attributes","added_attributes_full","commentdelatt","deleted_attributes","deleted_attributes_full","commentdelatt","reference_version","target_version"
"org:Organization","http://www.w3.org/ns/org#Organization","","","","","epo:hasOrganisationUnitName","http://data.europa.eu/a4g/ontology#hasOrganisationUnitName","","3.1.0","4.0.0-rc.1"
"epo:Notice","http://data.europa.eu/a4g/ontology#Notice","","","","","epo:hasLongTitle","http://data.europa.eu/a4g/ontology#hasLongTitle","","3.1.0","4.0.0-rc.1"
"epo:LotGroup","http://data.europa.eu/a4g/ontology#LotGroup","","dct:description","http://purl.org/dc/terms/description","","","","","3.1.0","4.0.0-rc.1"
"epo:LotGroup","http://data.europa.eu/a4g/ontology#LotGroup","","dct:title","http://purl.org/dc/terms/title","","","","","3.1.0","4.0.0-rc.1"
"epo:TenderGroup","http://data.europa.eu/a4g/ontology#TenderGroup","","dct:description","http://purl.org/dc/terms/description","","","","","3.1.0","4.0.0-rc.1"
"epo:TenderGroup","http://data.europa.eu/a4g/ontology#TenderGroup","","dct:title","http://purl.org/dc/terms/title","","","","","3.1.0","4.0.0-rc.1"
"epo:DesignContestRegimeTerm","http://data.europa.eu/a4g/ontology#DesignContestRegimeTerm","","epo:hasDescriptionOfPrizes","http://data.europa.eu/a4g/ontology#hasDescriptionOfPrizes","","","","","3.1.0","4.0.0-rc.1"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:isSubmissionForAllLotsRequired","http://data.europa.eu/a4g/ontology#isSubmissionForAllLotsRequired","","epo:isSubmissionForAllLotsAllowed","http://data.europa.eu/a4g/ontology#isSubmissionForAllLotsAllowed","","3.1.0","4.0.0-rc.1"
"cccev:InformationConcept","http://creativecommons.org/ns#InformationConcept","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"cccev:InformationConcept","http://creativecommons.org/ns#InformationConcept","","skos:prefLabel","http://www.w3.org/2004/02/skos/core#prefLabel","","epo:hasName","http://data.europa.eu/a4g/ontology#hasName","","3.1.0","4.0.0-rc.1"
"cccev:Requirement","http://creativecommons.org/ns#Requirement","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"cccev:Requirement","http://creativecommons.org/ns#Requirement","","skos:prefLabel","http://www.w3.org/2004/02/skos/core#prefLabel","","epo:hasName","http://data.europa.eu/a4g/ontology#hasName","","3.1.0","4.0.0-rc.1"
"cpov:ContactPoint","","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"cpv:Person","http://data.europa.eu/m8g/Person","","","","","cv:deathDate","http://data.europa.eu/m8g/deathDate","","3.1.0","4.0.0-rc.1"
"cpv:Person","http://data.europa.eu/m8g/Person","","","","","legal:registeredAddress","","","3.1.0","4.0.0-rc.1"
"cv:Channel","http://data.europa.eu/m8g/Channel","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
