"subject","comment","predicate","object","reference_version","target_version"
"<http://data.europa.eu/a4g/ontology#Certifier>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#AuxiliaryParty>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OpeningTerm>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#DesignContestRegimeTerm>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ReviewTerm>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AdHocChannel>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/m8g/Channel>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AwardCriteriaSummary>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementCriteriaSummary>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AwardDecision>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#Document>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AwardOutcome>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ContextualProjection>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Candidate>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#OfferingParty>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Contract>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#Document>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#DirectContract>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#Document>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#EconomicStandingSummary>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#SelectionCriteriaSummary>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Estimate>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ContextSpecificDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ExclusionGroundsSummary>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#QualificationCriteriaSummary>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ExclusionGround>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#QualificationCriterion>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ContractSpecificTerm>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#JuryMember>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#AcquiringParty>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotAwardOutcome>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#AwardOutcome>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotGroupAwardInformation>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ContextSpecificDescription>","3.1.0","4.0.0-rc.1"
