"subject","comment","predicate","comment","object","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#AwardDecision","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#ProcurementElement","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Contract","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#ProcurementElement","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#ProcurementElement","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ReviewObject","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#ProcurementElement","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Tender","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#ProcurementElement","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#AcquiringParty","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AgentInRole","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#AuxiliaryParty","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AgentInRole","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Awarder","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#BudgetProvider","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Buyer","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#CatalogueReceiver","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#OfferingParty","renamed from epo:EconomicOperator","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AgentInRole","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#EmploymentInformationProvider","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AuxiliaryParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#EnvironmentalProtectionInformationProvider","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AuxiliaryParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#LeadBuyer","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#Buyer","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Mediator","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#OfflineAccessProvider","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#OtherEntity","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#OfferingParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ParticipationRequestProcessor","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ParticipationRequestReceiver","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#PaymentExecutor","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementProcedureInformationProvider","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementServiceProvider","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ReviewProcedureInformationProvider","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ReviewRequester","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#OfferingParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Reviewer","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#TaxInformationProvider","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AuxiliaryParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#TenderProcessor","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#TenderReceiver","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#AccessTerm","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcessPlanningTerm","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#Term","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ReviewTerm","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#LotSpecificTerm","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ChargeInformation","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#PriceModifierInformation","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Manufacturer","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#OfferingParty","","3.0.1","3.1.0"
