"subject","comment","predicate","object","reference_version","target_version"
"org:Organization","","org:subOrganizationOf","org:Organization","3.1.0","4.0.0-rc.1"
"epo:NoticeAwardInformation","","epo:describesDirectAwardPrenotificationNotice","epo-not:DirectAwardPrenotificationNotice","3.1.0","4.0.0-rc.1"
"cccev:Evidence","","epo:hasValidityPeriod","epo:Period","3.1.0","4.0.0-rc.1"
"cccev:Requirement","","adms:identifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"epo:LotGroup","","epo:hasInternalIdentifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"epo:LotGroup","","epo:hasEstimatedValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:LotGroup","","epo:hasLaunchFrameworkAgreementMaximumValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:ProcurementObject","","epo:hasLaunchFrameworkAgreementMaximumValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:TenderGroup","","adms:identifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"epo:JuryMember","","epo:playedBy","cpv:Person","3.1.0","4.0.0-rc.1"
"epo:SubmissionTerm","","epo:hasTenderValidityDuration","epo:Duration","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueLine","","epo-cat:hasActivityCode","at-voc-new:activity-code","3.1.0","4.0.0-rc.1"
"epo-cat:Catalogue","","epo-cat:hasActivityCode","at-voc-new:activity-code","3.1.0","4.0.0-rc.1"
"epo-con:ContractAmendment","","epo:updatesContractValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"cccev:InformationConcept","","adms:identifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"cv:Channel","","epo:hasEndpointIdentifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"dct:Location","","adms:identifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"epo:AgentInRole","","epo:exposesChannel","cv:Channel","3.1.0","4.0.0-rc.1"
"epo:AwardDecision","","epo:comprisesAwardOutcome","epo:AwardOutcome","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","","epo:hasAwardedValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","","epo:hasBargainPrice","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","","epo:comprisesTenderAwardOutcome","epo:TenderAwardOutcome","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","","epo:hasNonAwardJustification","at-voc:non-award-justification","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","","epo:hasAwardStatus","at-voc:winner-selection-status","3.1.0","4.0.0-rc.1"
"epo:Buyer","","epo:signsAwardDecision","epo:AwardDecision","3.1.0","4.0.0-rc.1"
"epo:Buyer","","epo:exposesInvoiceeChannel","cv:Channel","3.1.0","4.0.0-rc.1"
"epo:Buyer","","epo:indicatesInvoiceeContactPoint","cpov:ContactPoint","3.1.0","4.0.0-rc.1"
"epo:ContractLotCompletionInformation","","epo:providesContractTotalPaymentValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:ContractLotCompletionInformation","","epo:providesContractTotalPenaltyValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:ContractTerm","","epo:hasEInvoicingPermission","at-voc:permission","3.1.0","4.0.0-rc.1"
"epo:Contractor","","epo:needsToBeAWinner","epo:Winner","3.1.0","4.0.0-rc.1"
"epo:Contract","","epo:specifiesDeliverable","epo-con:Deliverable","3.1.0","4.0.0-rc.1"
"epo:Contract","","epo:hasContractValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:Contract","","epo:isSubjectToContractSpecificTerm","epo:ContractSpecificTerm","3.1.0","4.0.0-rc.1"
"epo:Contract","","epo:isFundedBy","epo:Fund","3.1.0","4.0.0-rc.1"
"epo:ElementConfidentialityDescription","","epo:hasPurpose","epo:Purpose","3.1.0","4.0.0-rc.1"
"epo:ElementConfidentialityDescription","","epo-ord:hasTaxInformation","epo-ord:TaxInformation","3.1.0","4.0.0-rc.1"
"epo:DirectContract","","epo:resultsFromLotAwardOutcome","epo:LotAwardOutcome","3.1.0","4.0.0-rc.1"
"epo:Document","","epo:hasElectronicDigest","epo:Document","3.1.0","4.0.0-rc.1"
"epo:Document","","epo:hasElectronicSignature","epo:ElectronicSignature","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreementTerm","","epo:hasLaunchFrameworkAgreementMaximumValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreementTerm","","epo:hasLaunchGroupFrameworkAgreementMaximumValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreement","","epo:resultsFromLotAwardOutcome","epo:LotAwardOutcome","3.1.0","4.0.0-rc.1"
"epo:Fund","","epo:hasFundProgramme","at-voc:EU-programme","3.1.0","4.0.0-rc.1"
"epo:Fund","","adms:identifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"epo:GreenProcurement","","epo:fulfillsRequirement","at-voc:green-public-procurement-criteria","3.1.0","4.0.0-rc.1"
"epo:JuryMember","","epo:playedBy","foaf:Agent","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","","epo:hasFrameworkAgreementMaximumValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","","epo:hasApproximateFrameworkAgreementValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:LotGroupAwardInformation","","epo:hasGroupFrameworkAgreementMaximumValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:LotGroup","","epo:specifiesProcurementCriterion","epo:ProcurementCriterion","3.1.0","4.0.0-rc.1"
"epo:LotGroup","","adms:identifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"epo:Lot","","epo:specifiesProcurementCriterion","epo:ProcurementCriterion","3.1.0","4.0.0-rc.1"
"epo:MiniCompetitionAwardOutcome","","epo:resultsFromUsingCandidateList","epo:SelectedCandidateList","3.1.0","4.0.0-rc.1"
"epo:MultipleStageProcedureTerm","","epo:concernsNotice","epo:Notice","3.1.0","4.0.0-rc.1"
"epo:MultipleStageProcedureTerm","","epo:relatesToEFormSectionIdentifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"epo:MultipleStageProcedureTerm","","epo:hasNonPublicationJustification","at-voc:non-publication-justification","3.1.0","4.0.0-rc.1"
"epo:NoticeAwardInformation","","epo:describesResultNotice","epo-not:DirectAwardPrenotificationNotice","3.1.0","4.0.0-rc.1"
"epo:NoticeAwardInformation","","epo:hasApproximateFrameworkAgreementValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","(renamed from epo:NoticeChange)","epo:concernsNotice","epo:Notice","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","(renamed from epo:NoticeChange)","epo:relatesToEFormSectionIdentifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","(renamed from epo:NoticeChange)","epo:hasChangeJustification","at-voc:change-corrig-justification","3.1.0","4.0.0-rc.1"
"epo:Notice","","epo:refersToLot","epo:Lot","3.1.0","4.0.0-rc.1"
"epo:Notice","","epo:conformsToSpecificLegalBasis","at-voc:legal-basis","3.1.0","4.0.0-rc.1"
"epo:OfferIssuer","","epo:distributesOffer","epo:Offer","3.1.0","4.0.0-rc.1"
"epo:ParticipationConditionsSummary","","epo:hasReservedProcurement","at-voc:reserved-procurement","3.1.0","4.0.0-rc.1"
"epo:ParticipationCondition","","epo:hasReservedProcurement","at-voc:reserved-procurement","3.1.0","4.0.0-rc.1"
"epo:PlannedProcurementPart","","epo:foreseesProcurementObject","epo:ProcurementObject","3.1.0","4.0.0-rc.1"
"epo:Procedure","","epo:specifiesProcurementCriteriaSummary","epo:ProcurementCriteriaSummary","3.1.0","4.0.0-rc.1"
"epo:ProcurementCriterion","","epo:hasPerformingStaffQualificationInformation","at-voc:requirement-stage","3.1.0","4.0.0-rc.1"
"epo:ProcurementElement","","epo:hasInternalIdentifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"epo:ProcurementElement","","epo:usesChannel","cv:Channel","3.1.0","4.0.0-rc.1"
"epo:ProcurementElement","","epo:hasEstimatedValue","epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:ProcurementElement","","adms:identifier","adms:Identifier","3.1.0","4.0.0-rc.1"
"epo:ProcurementObject","","epo:hasLegalBasis","at-voc:legal-basis","3.1.0","4.0.0-rc.1"
"epo:ProcurementObject","","epo:foreseesConcession","epo:ConcessionEstimate","3.1.0","4.0.0-rc.1"
