"subject","comment","predicate","comment","object","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#Lot","","http://data.europa.eu/a4g/ontology#foreseesContractSpecificTerm","","http://data.europa.eu/a4g/ontology#ContractSpecificTerm","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#PlannedProcurementPart","","http://data.europa.eu/a4g/ontology#foreseesTechnique","","http://data.europa.eu/a4g/ontology#TechniqueUsage","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Procedure","","http://data.europa.eu/a4g/ontology#usesTechnique","","http://data.europa.eu/a4g/ontology#TechniqueUsage","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Procedure","","http://data.europa.eu/a4g/ontology#isResponsabilityOfBuyer","","http://data.europa.eu/a4g/ontology#Buyer","","3.0.0 beta","3.0.0"
"http://data.europa.eu/m8g/Person","","","","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/a4g/ontology#hasMainActivityType","","http://publications.europa.eu/resource/authority/main-activity","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/org#Organization","","","","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/m8g/address","","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/a4g/ontology#hasBuyerType","","http://publications.europa.eu/resource/authority/buyer-legal-type","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/a4g/ontology#hasLegalType","","http://publications.europa.eu/resource/authority/buyer-legal-type","","3.0.0 beta","3.0.0"
"","","http://data.europa.eu/m8g/address","","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/locn#Address","","http://data.europa.eu/a4g/ontology#hasNutsCode","","http://publications.europa.eu/resource/authority/nuts","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/locn#Address","","http://data.europa.eu/a4g/ontology#hasCountryCode","","http://publications.europa.eu/resource/authority/country","","3.0.0 beta","3.0.0"
"http://creativecommons.org/ns#Constraint","","http://creativecommons.org/ns#constrains","","http://creativecommons.org/ns#InformationConcept","","3.0.0 beta","3.0.0"
"http://creativecommons.org/ns#Evidence","","http://creativecommons.org/ns#supportsRequirement","","http://creativecommons.org/ns#Requirement","","3.0.0 beta","3.0.0"
"http://creativecommons.org/ns#Evidence","","http://creativecommons.org/ns#supportsConcept","","http://creativecommons.org/ns#InformationConcept","","3.0.0 beta","3.0.0"
"http://creativecommons.org/ns#Evidence","","http://creativecommons.org/ns#confidentialityLevelType","","http://publications.europa.eu/resource/authority/confidentiality-level","","3.0.0 beta","3.0.0"
"http://creativecommons.org/ns#InformationConcept","","http://data.europa.eu/a4g/ontology#hasID","","http://data.europa.eu/a4g/ontology#Identifier","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#TechniqueUsage","renamed from epo:Technique","http://data.europa.eu/a4g/ontology#hasUsage","","http://publications.europa.eu/resource/authority/usage","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","http://data.europa.eu/a4g/ontology#hasMaximumFrameworkAgreementAwardedValue","","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","http://data.europa.eu/a4g/ontology#hasProcurementHighestReceivedTenderValue","","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","http://data.europa.eu/a4g/ontology#hasProcurementLowestReceivedTenderValue","","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","http://data.europa.eu/a4g/ontology#hasTotalAwardedValue","","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","http://data.europa.eu/a4g/ontology#concernsLot","","http://data.europa.eu/a4g/ontology#Lot","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","http://data.europa.eu/a4g/ontology#concernsProcedure","","http://data.europa.eu/a4g/ontology#Procedure","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","http://data.europa.eu/a4g/ontology#concernsPreviousNotice","","http://data.europa.eu/a4g/ontology#Notice","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#ResultNotice","","http://data.europa.eu/a4g/ontology#refersToRole","","http://data.europa.eu/a4g/ontology#AgentInRole","","3.0.0 beta","3.0.0"
