"subject","comment","predicate","comment","object","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#Contract","","http://data.europa.eu/a4g/ontology#signedByContractor","","http://data.europa.eu/a4g/ontology#Contractor","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Contract","","http://data.europa.eu/a4g/ontology#signedByBuyer","","http://data.europa.eu/a4g/ontology#Buyer","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#hasPurpose","","http://data.europa.eu/a4g/ontology#Purpose","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#usesChannel","","http://data.europa.eu/m8g/Channel","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#refersToPlannedPart","","http://data.europa.eu/a4g/ontology#PlannedProcurementPart","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#hasEstimatedValue","","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#usesTechnique","","http://data.europa.eu/a4g/ontology#TechniqueUsage","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#foreseesContractSpecificTerm","","http://data.europa.eu/a4g/ontology#ContractSpecificTerm
","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Purpose","","http://data.europa.eu/a4g/ontology#hasMainClassification","","http://publications.europa.eu/resource/authority/cpvsuppl","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Purpose","","http://data.europa.eu/a4g/ontology#hasAdditionalClassification","","http://publications.europa.eu/resource/authority/cpvsuppl","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ReviewDecision","","http://data.europa.eu/a4g/ontology#providesRulingOnRemedy","","http://publications.europa.eu/resource/authority/remedy-type","","3.0.1","3.1.0"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/m8g/registeredAddress","","http://www.w3.org/ns/locn#Address","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ContractTerm","","http://data.europa.eu/a4g/ontology#hasContractNatureType","","http://publications.europa.eu/resource/authority/contract-nature","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ContractTerm","","http://data.europa.eu/a4g/ontology#hasAdditionalContractNature","","http://publications.europa.eu/resource/authority/contract-nature
","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcedureTerm","","http://data.europa.eu/a4g/ontology#definesInformationProvider","","http://data.europa.eu/a4g/ontology#AuxiliaryParty","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#LotAwardOutcome","","http://data.europa.eu/a4g/ontology#hasRestatedAwardedValue","","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#LotAwardOutcome","","http://data.europa.eu/a4g/ontology#hasBargainPrice","","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation","","http://data.europa.eu/a4g/ontology#summarisesInformationForLotAwardOutcome","","http://data.europa.eu/a4g/ontology#LotAwardOutcome","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#TenderAwardOutcome","","http://data.europa.eu/a4g/ontology#indicatesAwardOfLotToWinner","","http://data.europa.eu/a4g/ontology#Winner","","3.0.1","3.1.0"
"http://www.w3.org/2002/07/owl#Thing","","http://data.europa.eu/a4g/ontology#containsModificationsOf","","http://www.w3.org/2002/07/owl#Thing","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Catalogue","","http://data.europa.eu/a4g/ontology#isReceivedByCatalogueReceiver","","http://data.europa.eu/a4g/ontology#CatalogueReceiver","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Catalogue","","http://data.europa.eu/a4g/ontology#specifiesSeller","","http://data.europa.eu/a4g/ontology#Seller","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Catalogue","","http://data.europa.eu/a4g/ontology#isIntendedForBuyer","","http://data.europa.eu/a4g/ontology#Buyer","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ChargeInformation","","http://data.europa.eu/a4g/ontology#isSpecificToOrderLine","","http://data.europa.eu/a4g/ontology#OrderLine","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Price","","http://data.europa.eu/a4g/ontology#hasPriceType","","http://publications.europa.eu/resource/authority/new/price-type","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProductSpecification","","http://data.europa.eu/a4g/ontology#hasDocumentType","","http://publications.europa.eu/resource/authority/new/document-type","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#Item","","http://data.europa.eu/a4g/ontology#hasBuyerItemID","","http://data.europa.eu/a4g/ontology#Identifier","","3.0.1","3.1.0"
