"subject","comment","predicate","object","reference_version","target_version"
"http://www.w3.org/ns/org#Organization","","http://www.w3.org/ns/org#subOrganizationOf","http://www.w3.org/ns/org#Organization","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","http://data.europa.eu/a4g/ontology#describesDirectAwardPrenotificationNotice","http://data.europa.eu/a4g/ontology#DirectAwardPrenotificationNotice","3.1.0","4.0.0-rc.1"
"http://creativecommons.org/ns#Evidence","","http://data.europa.eu/a4g/ontology#hasValidityPeriod","http://data.europa.eu/a4g/ontology#Period","3.1.0","4.0.0-rc.1"
"http://creativecommons.org/ns#Requirement","","http://www.w3.org/ns/adms#identifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroup","","http://data.europa.eu/a4g/ontology#hasInternalIdentifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroup","","http://data.europa.eu/a4g/ontology#hasEstimatedValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroup","","http://data.europa.eu/a4g/ontology#hasLaunchFrameworkAgreementMaximumValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#hasLaunchFrameworkAgreementMaximumValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#TenderGroup","","http://www.w3.org/ns/adms#identifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#JuryMember","","http://data.europa.eu/a4g/ontology#playedBy","http://data.europa.eu/m8g/Person","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#SubmissionTerm","","http://data.europa.eu/a4g/ontology#hasTenderValidityDuration","http://data.europa.eu/a4g/ontology#Duration","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#CatalogueLine","","http://data.europa.eu/a4g/ontology#hasActivityCode","http://publications.europa.eu/resource/authority/new/activity-code","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Catalogue","","http://data.europa.eu/a4g/ontology#hasActivityCode","http://publications.europa.eu/resource/authority/new/activity-code","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ContractAmendment","","http://data.europa.eu/a4g/ontology#updatesContractValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://creativecommons.org/ns#InformationConcept","","http://www.w3.org/ns/adms#identifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/m8g/Channel","","http://data.europa.eu/a4g/ontology#hasEndpointIdentifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://purl.org/dc/terms/Location","","http://www.w3.org/ns/adms#identifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AgentInRole","","http://data.europa.eu/a4g/ontology#exposesChannel","http://data.europa.eu/m8g/Channel","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AwardDecision","","http://data.europa.eu/a4g/ontology#comprisesAwardOutcome","http://data.europa.eu/a4g/ontology#AwardOutcome","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AwardOutcome","","http://data.europa.eu/a4g/ontology#hasAwardedValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AwardOutcome","","http://data.europa.eu/a4g/ontology#hasBargainPrice","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AwardOutcome","","http://data.europa.eu/a4g/ontology#comprisesTenderAwardOutcome","http://data.europa.eu/a4g/ontology#TenderAwardOutcome","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AwardOutcome","","http://data.europa.eu/a4g/ontology#hasNonAwardJustification","http://publications.europa.eu/resource/authority/non-award-justification","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#AwardOutcome","","http://data.europa.eu/a4g/ontology#hasAwardStatus","http://publications.europa.eu/resource/authority/winner-selection-status","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Buyer","","http://data.europa.eu/a4g/ontology#signsAwardDecision","http://data.europa.eu/a4g/ontology#AwardDecision","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Buyer","","http://data.europa.eu/a4g/ontology#exposesInvoiceeChannel","http://data.europa.eu/m8g/Channel","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Buyer","","http://data.europa.eu/a4g/ontology#indicatesInvoiceeContactPoint","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ContractLotCompletionInformation","","http://data.europa.eu/a4g/ontology#providesContractTotalPaymentValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ContractLotCompletionInformation","","http://data.europa.eu/a4g/ontology#providesContractTotalPenaltyValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ContractTerm","","http://data.europa.eu/a4g/ontology#hasEInvoicingPermission","http://publications.europa.eu/resource/authority/permission","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Contractor","","http://data.europa.eu/a4g/ontology#needsToBeAWinner","http://data.europa.eu/a4g/ontology#Winner","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Contract","","http://data.europa.eu/a4g/ontology#specifiesDeliverable","http://data.europa.eu/a4g/ontology#Deliverable","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Contract","","http://data.europa.eu/a4g/ontology#hasContractValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Contract","","http://data.europa.eu/a4g/ontology#isSubjectToContractSpecificTerm","http://data.europa.eu/a4g/ontology#ContractSpecificTerm","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Contract","","http://data.europa.eu/a4g/ontology#isFundedBy","http://data.europa.eu/a4g/ontology#Fund","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ElementConfidentialityDescription","","http://data.europa.eu/a4g/ontology#hasPurpose","http://data.europa.eu/a4g/ontology#Purpose","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ElementConfidentialityDescription","","http://data.europa.eu/a4g/ontology#hasTaxInformation","http://data.europa.eu/a4g/ontology#TaxInformation","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#DirectContract","","http://data.europa.eu/a4g/ontology#resultsFromLotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Document","","http://data.europa.eu/a4g/ontology#hasElectronicDigest","http://data.europa.eu/a4g/ontology#Document","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Document","","http://data.europa.eu/a4g/ontology#hasElectronicSignature","http://data.europa.eu/a4g/ontology#ElectronicSignature","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","","http://data.europa.eu/a4g/ontology#hasLaunchFrameworkAgreementMaximumValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","","http://data.europa.eu/a4g/ontology#hasLaunchGroupFrameworkAgreementMaximumValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#FrameworkAgreement","","http://data.europa.eu/a4g/ontology#resultsFromLotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Fund","","http://data.europa.eu/a4g/ontology#hasFundProgramme","http://publications.europa.eu/resource/authority/EU-programme","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Fund","","http://www.w3.org/ns/adms#identifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#GreenProcurement","","http://data.europa.eu/a4g/ontology#fulfillsRequirement","http://publications.europa.eu/resource/authority/green-public-procurement-criteria","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#JuryMember","","http://data.europa.eu/a4g/ontology#playedBy","http://xmlns.com/foaf/0.1/Agent","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotAwardOutcome","","http://data.europa.eu/a4g/ontology#hasFrameworkAgreementMaximumValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotAwardOutcome","","http://data.europa.eu/a4g/ontology#hasApproximateFrameworkAgreementValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroupAwardInformation","","http://data.europa.eu/a4g/ontology#hasGroupFrameworkAgreementMaximumValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroup","","http://data.europa.eu/a4g/ontology#specifiesProcurementCriterion","http://data.europa.eu/a4g/ontology#ProcurementCriterion","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroup","","http://www.w3.org/ns/adms#identifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Lot","","http://data.europa.eu/a4g/ontology#specifiesProcurementCriterion","http://data.europa.eu/a4g/ontology#ProcurementCriterion","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#MiniCompetitionAwardOutcome","","http://data.europa.eu/a4g/ontology#resultsFromUsingCandidateList","http://data.europa.eu/a4g/ontology#SelectedCandidateList","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#MultipleStageProcedureTerm","","http://data.europa.eu/a4g/ontology#concernsNotice","http://data.europa.eu/a4g/ontology#Notice","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#MultipleStageProcedureTerm","","http://data.europa.eu/a4g/ontology#relatesToEFormSectionIdentifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#MultipleStageProcedureTerm","","http://data.europa.eu/a4g/ontology#hasNonPublicationJustification","http://publications.europa.eu/resource/authority/non-publication-justification","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","http://data.europa.eu/a4g/ontology#describesResultNotice","http://data.europa.eu/a4g/ontology#DirectAwardPrenotificationNotice","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","http://data.europa.eu/a4g/ontology#hasApproximateFrameworkAgreementValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed from epo:NoticeChange","http://data.europa.eu/a4g/ontology#concernsNotice","http://data.europa.eu/a4g/ontology#Notice","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed from epo:NoticeChange","http://data.europa.eu/a4g/ontology#relatesToEFormSectionIdentifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed from epo:NoticeChange","http://data.europa.eu/a4g/ontology#hasChangeJustification","http://publications.europa.eu/resource/authority/change-corrig-justification","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Notice","","http://data.europa.eu/a4g/ontology#refersToLot","http://data.europa.eu/a4g/ontology#Lot","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Notice","","http://data.europa.eu/a4g/ontology#conformsToSpecificLegalBasis","http://publications.europa.eu/resource/authority/legal-basis","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#OfferIssuer","","http://data.europa.eu/a4g/ontology#distributesOffer","http://data.europa.eu/a4g/ontology#Offer","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ParticipationConditionsSummary","","http://data.europa.eu/a4g/ontology#hasReservedProcurement","http://publications.europa.eu/resource/authority/reserved-procurement","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ParticipationCondition","","http://data.europa.eu/a4g/ontology#hasReservedProcurement","http://publications.europa.eu/resource/authority/reserved-procurement","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#PlannedProcurementPart","","http://data.europa.eu/a4g/ontology#foreseesProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Procedure","","http://data.europa.eu/a4g/ontology#specifiesProcurementCriteriaSummary","http://data.europa.eu/a4g/ontology#ProcurementCriteriaSummary","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ProcurementCriterion","","http://data.europa.eu/a4g/ontology#hasPerformingStaffQualificationInformation","http://publications.europa.eu/resource/authority/requirement-stage","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ProcurementElement","","http://data.europa.eu/a4g/ontology#hasInternalIdentifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ProcurementElement","","http://data.europa.eu/a4g/ontology#usesChannel","http://data.europa.eu/m8g/Channel","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ProcurementElement","","http://data.europa.eu/a4g/ontology#hasEstimatedValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ProcurementElement","","http://www.w3.org/ns/adms#identifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#hasLegalBasis","http://publications.europa.eu/resource/authority/legal-basis","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#foreseesConcession","http://data.europa.eu/a4g/ontology#ConcessionEstimate","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Project","","http://www.w3.org/ns/adms#identifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#PurchaseContract","","http://data.europa.eu/a4g/ontology#resultsFromMiniCompetitionAwardOutcome","http://data.europa.eu/a4g/ontology#MiniCompetitionAwardOutcome","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ReviewDecision","","http://data.europa.eu/a4g/ontology#hasRemedyValue","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ReviewRequest","","http://data.europa.eu/a4g/ontology#hasReviewRequestFee","http://data.europa.eu/a4g/ontology#MonetaryValue","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Reviewer","","http://data.europa.eu/a4g/ontology#hasReviewBodyType","http://publications.europa.eu/resource/authority/review-body-type","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#SelectedCandidateList","","http://data.europa.eu/a4g/ontology#containsCandidate","http://data.europa.eu/a4g/ontology#Candidate","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#SelectedCandidateList","","http://data.europa.eu/a4g/ontology#hasStartDate","http://data.europa.eu/a4g/ontology#Period","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation","","http://data.europa.eu/a4g/ontology#summarisesInformationForAwardOutcome","http://data.europa.eu/a4g/ontology#AwardOutcome","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#SubmissionTerm","","http://data.europa.eu/a4g/ontology#hasTenderValidityPeriod","http://data.europa.eu/a4g/ontology#Period","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#TenderAwardOutcome","","http://data.europa.eu/a4g/ontology#indicatesAwardToWinner","http://data.europa.eu/a4g/ontology#Winner","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#TenderAwardOutcome","","http://data.europa.eu/a4g/ontology#concernsTender","http://data.europa.eu/a4g/ontology#Tender","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Tender","","http://data.europa.eu/a4g/ontology#hasSubcontracting","http://publications.europa.eu/resource/authority/applicability","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#VehicleInformation","","http://data.europa.eu/a4g/ontology#concernsGreenProcurement","http://data.europa.eu/a4g/ontology#GreenProcurement","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#VehicleInformation","","http://data.europa.eu/a4g/ontology#specifiesCleanVehicleDirectiveVehicleCategory","http://publications.europa.eu/resource/authority/vehicle-category","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#VehicleInformation","","http://data.europa.eu/a4g/ontology#specifiesCleanVehicleDirectiveContractType","http://publications.europa.eu/resource/authority/cvd-contract-type","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Winner","","http://data.europa.eu/a4g/ontology#needsToBeATenderer","http://data.europa.eu/a4g/ontology#Tenderer","3.1.0","4.0.0-rc.1"
"http://xmlns.com/foaf/0.1/Agent","","http://www.w3.org/ns/adms#identifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://xmlns.com/foaf/0.1/Person","","http://data.europa.eu/a4g/ontology#hasCertification","http://data.europa.eu/a4g/ontology#Certificate","3.1.0","4.0.0-rc.1"
"http://www.w3.org/ns/locn#Address","","http://www.w3.org/ns/adms#identifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/a4g/ontology#hasLegalIdentifier","http://www.w3.org/ns/adms#Identifier","3.1.0","4.0.0-rc.1"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/a4g/ontology#hasRegistrationCountry","http://publications.europa.eu/resource/authority/country","3.1.0","4.0.0-rc.1"
