"subject","comment","predicate","object","reference_version","target_version"
"<http://data.europa.eu/a4g/ontology#AwardDecision>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementElement>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Contract>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementElement>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ExclusionGround>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementCriterion>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotGroupAwardInformation>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ContextualProjection>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NoticeChangeInformation>","(renamed from epo:NoticeChange)","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#NoticeDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#PlannedProcurementPart>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementObject>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ReviewObject>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementElement>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ReviewTerm>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SelectionCriterion>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementCriterion>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Tender>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementElement>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ChargeInformation>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#PriceModifierInformation>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ItemProperty>","(renamed from epo-cat:ItemDescription)","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ElementDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProductSpecification>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#Document>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractInformation>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ContextSpecificDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OriginatorInformation>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ContextSpecificDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AllowanceChargeInformation>","(renamed from epo-ord:PriceModifierInformation)","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ContextSpecificDescription>","3.1.0","4.0.0-rc.1"
