"subject","comment","predicate","object","reference_version","target_version"
"<http://data.europa.eu/a4g/ontology#LotAwardOutcome>","","<http://data.europa.eu/a4g/ontology#hasAwardedEstimatedValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotAwardOutcome>","","<http://data.europa.eu/a4g/ontology#hasFrameworkAgreementEstimatedValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NoticeAwardInformation>","","<http://data.europa.eu/a4g/ontology#describesResultNotice>","<http://data.europa.eu/a4g/ontology#DirectAwardPrenotificationNotice>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Certificate>","","<http://data.europa.eu/a4g/ontology#hasValidityPeriod>","<http://data.europa.eu/a4g/ontology#Period>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","<http://data.europa.eu/a4g/ontology#conformsToSpecificLegalBasis>","<http://publications.europa.eu/resource/authority/legal-basis>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#JuryMember>","","<http://data.europa.eu/a4g/ontology#playedBy>","<http://xmlns.com/foaf/0.1/Person>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm>","","<http://data.europa.eu/a4g/ontology#hasLaunchGroupFrameworkAgreementMaximumValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm>","","<http://data.europa.eu/a4g/ontology#hasLaunchFrameworkAgreementMaximumValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#TaxInformation>","","<http://data.europa.eu/a4g/ontology#hasVATCategory>","<http://publications.europa.eu/resource/authority/new/vat-category>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractAmendment>","","<http://data.europa.eu/a4g/ontology#hasRestatedContractValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://creativecommons.org/ns#InformationConcept>","","<http://data.europa.eu/a4g/ontology#hasID>","<http://data.europa.eu/a4g/ontology#Identifier>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AwardDecision>","","<http://data.europa.eu/a4g/ontology#comprisesLotAwardOutcome>","<http://data.europa.eu/a4g/ontology#LotAwardOutcome>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Awarder>","","<http://data.europa.eu/a4g/ontology#dependsOnBuyer>","<http://data.europa.eu/a4g/ontology#Buyer>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#BudgetProvider>","","<http://data.europa.eu/a4g/ontology#dependsOnBuyer>","<http://data.europa.eu/a4g/ontology#Buyer>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#BudgetProvider>","","<http://data.europa.eu/a4g/ontology#dependsOnServiceProvider>","<http://data.europa.eu/a4g/ontology#ProcurementServiceProvider>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractLotCompletionInformation>","","<http://data.europa.eu/a4g/ontology#hasPaymentValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractLotCompletionInformation>","","<http://data.europa.eu/a4g/ontology#hasPenaltyValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ExclusionGround>","","<http://data.europa.eu/a4g/ontology#specifiesExclusionGround>","<http://data.europa.eu/a4g/ontology#Procedure>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm>","","<http://data.europa.eu/a4g/ontology#hasOverallMaximumValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Fund>","","<http://data.europa.eu/a4g/ontology#hasID>","<http://data.europa.eu/a4g/ontology#Identifier>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotAwardOutcome>","","<http://data.europa.eu/a4g/ontology#comprisesTenderAwardOutcome>","<http://data.europa.eu/a4g/ontology#TenderAwardOutcome>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotAwardOutcome>","","<http://data.europa.eu/a4g/ontology#hasRestatedAwardedValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotAwardOutcome>","","<http://data.europa.eu/a4g/ontology#isAdoptedByBuyer>","<http://data.europa.eu/a4g/ontology#Buyer>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotGroupAwardInformation>","","<http://data.europa.eu/a4g/ontology#hasGroupFrameworkAgreementAwardedValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotGroup>","","<http://data.europa.eu/a4g/ontology#hasEstimatedValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotGroup>","","<http://data.europa.eu/a4g/ontology#specifiesSelectionCriterion>","<http://data.europa.eu/a4g/ontology#SelectionCriterion>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotGroup>","","<http://data.europa.eu/a4g/ontology#specifiesAwardCriterion>","<http://data.europa.eu/a4g/ontology#AwardCriterion>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Lot>","","<http://data.europa.eu/a4g/ontology#specifiesSelectionCriterion>","<http://data.europa.eu/a4g/ontology#SelectionCriterion>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Lot>","","<http://data.europa.eu/a4g/ontology#specifiesAwardCriterion>","<http://data.europa.eu/a4g/ontology#AwardCriterion>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Lot>","","<http://data.europa.eu/a4g/ontology#hasRestatedEstimatedValue>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Lot>","","<http://data.europa.eu/a4g/ontology#hasReservedProcurement>","<http://publications.europa.eu/resource/authority/reserved-procurement>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Lot>","","<http://data.europa.eu/a4g/ontology#hasPerformingStaffQualificationInformation>","<http://publications.europa.eu/resource/authority/requirement-stage>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#MultipleStageProcedureTerm>","","<http://data.europa.eu/a4g/ontology#hasQualificationSystemPeriod>","<http://data.europa.eu/a4g/ontology#Period>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NoticeChangeInformation>","(renamed from epo:NoticeChange)","<http://data.europa.eu/a4g/ontology#hasElementChange>","<http://data.europa.eu/a4g/ontology#ElementChangeDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","<http://data.europa.eu/a4g/ontology#hasNotificationContentType>","<http://publications.europa.eu/resource/authority/new/notification-phases-content-types>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OfferingParty>","","<http://data.europa.eu/a4g/ontology#playedByBusiness>","<http://data.europa.eu/a4g/ontology#Business>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ParticipationRequestProcessor>","","<http://data.europa.eu/a4g/ontology#dependsOnServiceProvider>","<http://data.europa.eu/a4g/ontology#ProcurementServiceProvider>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ParticipationRequestProcessor>","","<http://data.europa.eu/a4g/ontology#dependsOnBuyer>","<http://data.europa.eu/a4g/ontology#Buyer>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ParticipationRequestReceiver>","","<http://data.europa.eu/a4g/ontology#dependsOnServiceProvider>","<http://data.europa.eu/a4g/ontology#ProcurementServiceProvider>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ParticipationRequestReceiver>","","<http://data.europa.eu/a4g/ontology#dependsOnBuyer>","<http://data.europa.eu/a4g/ontology#Buyer>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#PaymentExecutor>","","<http://data.europa.eu/a4g/ontology#dependsOnServiceProvider>","<http://data.europa.eu/a4g/ontology#ProcurementServiceProvider>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#PaymentExecutor>","","<http://data.europa.eu/a4g/ontology#dependsOnBuyer>","<http://data.europa.eu/a4g/ontology#Buyer>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#PlannedProcurementPart>","","<http://data.europa.eu/a4g/ontology#hasLegalBasis>","<http://publications.europa.eu/resource/authority/legal-basis>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Procedure>","","<http://data.europa.eu/a4g/ontology#hasLegalBasis>","<http://publications.europa.eu/resource/authority/legal-basis>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Procedure>","","<http://data.europa.eu/a4g/ontology#hasLegalRegime>","<http://publications.europa.eu/resource/authority/new/legal-regime>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Procedure>","","<http://data.europa.eu/a4g/ontology#specifiesExclusionGround>","<http://data.europa.eu/a4g/ontology#ExclusionGround>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProcurementObject>","","<http://data.europa.eu/a4g/ontology#hasID>","<http://data.europa.eu/a4g/ontology#Identifier>","3.1.0","4.0.0-rc.1"
