"subject","comment","predicate","comment","object","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#Lot","","http://data.europa.eu/a4g/ontology#foreseesContractTerm","","http://data.europa.eu/a4g/ontology#ContractSpecificTerm","","3.0.0 beta","3.0.0"
"http://data.europa.eu/m8g/Person","","http://data.europa.eu/a4g/ontology#hasRegisteredAddress","","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/a4g/ontology#hasRegisteredAddress","","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/a4g/ontology#hasAddress","","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/a4g/ontology#hasBuyerType","","http://publications.europa.eu/resource/authority/buyer-legal-type","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Buyer","","http://data.europa.eu/a4g/ontology#hasMainActivityType","","http://publications.europa.eu/resource/authority/main-activity","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Buyer","","http://data.europa.eu/a4g/ontology#hasBuyerType","","http://publications.europa.eu/resource/authority/buyer-legal-type","","3.0.0 beta","3.0.0"
"","","http://data.europa.eu/a4g/ontology#hasAddress","","http://www.w3.org/ns/locn#Address","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/locn#Address","","http://www.w3.org/ns/locn#adminUnitL2","","http://publications.europa.eu/resource/authority/nuts","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/locn#Address","","http://www.w3.org/ns/locn#adminUnitL1","","http://publications.europa.eu/resource/authority/country","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#EAuctionTechniqueUsage","renamed from epo:EAuctionTechnique","http://data.europa.eu/a4g/ontology#hasEAuctionUsage","","http://publications.europa.eu/resource/authority/usage","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#TechniqueUsage","renamed from epo:Technique","","","http://data.europa.eu/a4g/ontology#hasEAuctionUsage","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","http://data.europa.eu/a4g/ontology#hasTotalFrameworkAgreementAwardedValue","","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#NoticeAwardInformation","","http://data.europa.eu/a4g/ontology#hasTotalContractAwardedValue","","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","http://data.europa.eu/a4g/ontology#concernsLotRelaunch","","http://data.europa.eu/a4g/ontology#Lot","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","http://data.europa.eu/a4g/ontology#concernsProcedureRelaunch","","http://data.europa.eu/a4g/ontology#Procedure","","3.0.0 beta","3.0.0"
