"class","comment","added_attributes","comment","deleted_attributes","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#Lot","","http://data.europa.eu/a4g/ontology#hasRecurrenceDescription","","","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Lot","","http://data.europa.eu/a4g/ontology#isRecurrent","","","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Procedure","","http://data.europa.eu/a4g/ontology#hasAdditionalInformation","","","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Procedure","","http://data.europa.eu/a4g/ontology#hasRecurrenceDescription","","","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Procedure","","http://data.europa.eu/a4g/ontology#isCoveredByGPA","","","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Procedure","","http://data.europa.eu/a4g/ontology#isJointProcurement","","","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Procedure","","http://data.europa.eu/a4g/ontology#isRecurrent","","","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Tender","","http://data.europa.eu/a4g/ontology#isVariant","","http://data.europa.eu/a4g/ontology#hasVariant","","3.0.0 beta","3.0.0"
"http://data.europa.eu/m8g/Person","","http://www.w3.org/ns/person#birthName","","http://data.europa.eu/a4g/ontology#hasBirthFamilyName","","3.0.0 beta","3.0.0"
"http://data.europa.eu/m8g/Person","","http://data.europa.eu/m8g/birthDate","","http://data.europa.eu/a4g/ontology#hasDateOfBirth","","3.0.0 beta","3.0.0"
"http://data.europa.eu/m8g/Person","","http://data.europa.eu/m8g/deathDate","","http://data.europa.eu/a4g/ontology#hasDateOfDeath","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#Buyer","","","","http://data.europa.eu/a4g/ontology#isResponsibleForProcedure","","3.0.0 beta","3.0.0"
"","","","","","","3.0.0 beta","3.0.0"
"","","","","","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/locn#Address","","http://www.w3.org/ns/locn#adminUnitL1","","","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/locn#Address","","http://www.w3.org/ns/locn#adminUnitL2","","","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/locn#Geometry","","http://data.europa.eu/m8g/coordinates","","http://www.w3.org/ns/locn#coordinates","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/locn#Geometry","","http://data.europa.eu/m8g/latitude","","http://www.w3.org/ns/locn#latitude","","3.0.0 beta","3.0.0"
"http://www.w3.org/ns/locn#Geometry","","http://www.w3.org/ns/locn#longitude","","http://data.europa.eu/m8g/longitude","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","","","","http://data.europa.eu/a4g/ontology#hasBuyerCoverage","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","","","","","rom epo:hasFrameworkBuyerCategor","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","","","","http://data.europa.eu/a4g/ontology#hasMaximumNumberOfAwardedTenderers","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","","http://data.europa.eu/a4g/ontology#hasMaximumParticipantsNumber","","","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#ProcedureTerm","","http://data.europa.eu/a4g/ontology#hasCrossBorderLaw","","","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#ProcedureTerm","","http://data.europa.eu/a4g/ontology#isAwardedByCPB","","","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#SubmissionTerm","","http://data.europa.eu/a4g/ontology#hasEAuctionURL","","","","3.0.0 beta","3.0.0"
