"class","added_attributes","deleted_attributes","reference_version","target_version"
"org:Organization","org:subOrganizationOf → org:Organization","","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","","epo:hasAwardedEstimatedValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","","epo:hasFrameworkAgreementEstimatedValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:NoticeAwardInformation","epo:describesDirectAwardPrenotificationNotice → epo-not:DirectAwardPrenotificationNotice","epo:describesResultNotice → epo-not:DirectAwardPrenotificationNotice","3.1.0","4.0.0-rc.1"
"cccev:Evidence","epo:hasValidityPeriod → epo:Period","","3.1.0","4.0.0-rc.1"
"cccev:Requirement","adms:identifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo:Certificate","","epo:hasValidityPeriod → epo:Period","3.1.0","4.0.0-rc.1"
"epo:Notice","","epo:conformsToSpecificLegalBasis → at-voc:legal-basis","3.1.0","4.0.0-rc.1"
"epo:LotGroup","epo:hasInternalIdentifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo:LotGroup","epo:hasEstimatedValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:LotGroup","epo:hasLaunchFrameworkAgreementMaximumValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:ProcurementObject","epo:hasLaunchFrameworkAgreementMaximumValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:TenderGroup","adms:identifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo:Certifier","generalisation → epo:AuxiliaryParty","","3.1.0","4.0.0-rc.1"
"epo:JuryMember","epo:playedBy → cpv:Person","epo:playedBy → foaf:Person","3.1.0","4.0.0-rc.1"
"epo:OpeningTerm","generalisation → epo:ProcedureSpecificTerm","","3.1.0","4.0.0-rc.1"
"epo:DesignContestRegimeTerm","generalisation → epo:ProcedureSpecificTerm","","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreementTerm","","epo:hasLaunchGroupFrameworkAgreementMaximumValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreementTerm","","epo:hasLaunchFrameworkAgreementMaximumValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:ReviewTerm","generalisation → epo:ProcedureSpecificTerm","","3.1.0","4.0.0-rc.1"
"epo:SubmissionTerm","epo:hasTenderValidityDuration → epo:Duration","","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueLine","epo-cat:hasActivityCode → at-voc-new:activity-code","","3.1.0","4.0.0-rc.1"
"epo-cat:Catalogue","epo-cat:hasActivityCode → at-voc-new:activity-code","","3.1.0","4.0.0-rc.1"
"epo-ord:TaxInformation","","epo-cat:hasVATCategory → at-voc-new:vat-category","3.1.0","4.0.0-rc.1"
"epo-con:ContractAmendment","epo:updatesContractValue → epo:MonetaryValue","epo:hasRestatedContractValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"cccev:InformationConcept","adms:identifier → adms:Identifier","epo:hasID → epo:Identifier","3.1.0","4.0.0-rc.1"
"cv:Channel","epo:hasEndpointIdentifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"dct:Location","adms:identifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo:AdHocChannel","generalisation → cv:Channel","","3.1.0","4.0.0-rc.1"
"epo:AgentInRole","epo:exposesChannel → cv:Channel","","3.1.0","4.0.0-rc.1"
"epo:AwardCriteriaSummary","generalisation → epo:ProcurementCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:AwardDecision","generalisation → epo:Document","generalisation → epo:ProcurementElement","3.1.0","4.0.0-rc.1"
"epo:AwardDecision","epo:comprisesAwardOutcome → epo:AwardOutcome","epo:comprisesLotAwardOutcome → epo:LotAwardOutcome","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","epo:hasAwardedValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","epo:hasBargainPrice → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","epo:comprisesTenderAwardOutcome → epo:TenderAwardOutcome","","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","epo:hasNonAwardJustification → at-voc:non-award-justification","","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","epo:hasAwardStatus → at-voc:winner-selection-status","","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","generalisation → epo:ContextualProjection","","3.1.0","4.0.0-rc.1"
"epo:Awarder","","epo:dependsOnBuyer → epo:Buyer","3.1.0","4.0.0-rc.1"
"epo:BudgetProvider","","epo:dependsOnBuyer → epo:Buyer","3.1.0","4.0.0-rc.1"
"epo:BudgetProvider","","epo:dependsOnServiceProvider → epo:ProcurementServiceProvider","3.1.0","4.0.0-rc.1"
"epo:Buyer","epo:signsAwardDecision → epo:AwardDecision","","3.1.0","4.0.0-rc.1"
"epo:Buyer","epo:exposesInvoiceeChannel → cv:Channel","","3.1.0","4.0.0-rc.1"
"epo:Buyer","epo:indicatesInvoiceeContactPoint → cpov:ContactPoint","","3.1.0","4.0.0-rc.1"
"epo:Candidate","generalisation → epo:OfferingParty","","3.1.0","4.0.0-rc.1"
"epo:ContractLotCompletionInformation","epo:providesContractTotalPaymentValue → epo:MonetaryValue","epo:hasPaymentValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:ContractLotCompletionInformation","epo:providesContractTotalPenaltyValue → epo:MonetaryValue","epo:hasPenaltyValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
